Score,Název,IČO,Město,Ulice,PSČ,Kraj,Email,Telefon,Web,Typ,Zásilkový,E-recept,Lékárník,Tier,eWay Status
100,BB Lékárna s.r.o.,19145608,Brno,Údolní 326/11,60200,Jihomoravský kraj,info@bblekarna.cz,777 241 945,https://www.lekarnanaudolni.cz/,Lékárna,Ano,Ano,Mgr. Jana Dostálová,Tier 1,unknown
100,BENU Lékárna PLV laboratoř,49621173,Praha,K pérovně 945/7,10200,Praha,"poradna@benu.cz, praha.kperovne@benu.cz",731661144,"https://www.benunapredpis.cz, https://www.benu.cz",Lékárna,Ano,Ano,PharmDr. Lucie Walterová,Tier 1,unknown
100,Dr. Max LÉKÁRNA,28511298,Plzeň,Radčická 2861/2,30100,Plzeňský kraj,plzen.radcicka@drmax.cz,225 574 433,http://www.drmax.cz,Lékárna,Ano,Ano,Mgr. Lenka Jeřábková,Tier 1,unknown
100,Dr. Max LÉKÁRNA,28511298,Plzeň,Sukova 2895/23,30100,Plzeňský kraj,lek127@drmax.cz,225574127,http://www.drmax.cz,Lékárna,Ano,Ano,Mgr. Jaroslav Semerád,Tier 1,unknown
100,Dr. Max LÉKÁRNA,28511298,Ostrava,Spojovací 326,72527,Moravskoslezský kraj,"ostrava.opavska@drmax.cz, lek419@drmax.cz",596 935 041,http://www.drmax.cz,Lékárna,Ano,Ano,Mgr. Hana Janečková,Tier 1,unknown
100,Dr.Max LÉKÁRNA,28511298,Praha,U Slavie 1527/3,10000,Praha,praha.uslavie@drmax.cz,225574303,http://www.drmax.cz,Lékárna,Ano,Ano,Mgr. Radoslav Kočiš,Tier 1,unknown
100,Dr.Max LÉKÁRNA,28511298,Brno,Bašty 413/2,60200,Jihomoravský kraj,lek222@drmax.cz,225574222,http://www.drmax.cz,Lékárna,Ano,Ano,Mgr. Vendula Petříková,Tier 1,unknown
100,Dr.Max LÉKÁRNA,28511298,Praha,Radlická 520/117,15800,Praha,praha.radlicka@drmax.cz,225574194,http://www.drmax.cz,Lékárna,Ano,Ano,Mgr. Martina Snášelová,Tier 1,unknown
100,Dr.Max LÉKÁRNA,28511298,Brno,Netroufalky 770/14,62500,Jihomoravský kraj,lek347@drmax.cz,225574347,https://www.drmax.cz,Lékárna,Ano,Ano,Mgr. Romana Koulová,Tier 1,unknown
100,Dr.Max LÉKÁRNA,28511298,Praha,Krčská 1079/59,14000,Praha,praha.krcska@drmax.cz,225574301,http://www.drmax.cz,Lékárna,Ano,Ano,Mgr. Dana Kaltenbrunerová,Tier 1,unknown
100,Dr.Max LÉKÁRNA,28511298,Praha,Vítězné náměstí 997/13,16000,Praha,praha.viteznenam@drmax.cz,"225 574 363, 734 288 303",http://www.drmax.cz,Lékárna,Ano,Ano,PharmDr. Diana Páleníková,Tier 1,unknown
100,Dr.Max LÉKÁRNA,28511298,Brno,Ve Vaňkovce 462/1,60200,Jihomoravský kraj,brno.vankovka@drmax.cz,225 574 322,http://www.drmax.cz,Lékárna,Ano,Ano,Mgr. Veronika Štrajtová,Tier 1,unknown
100,Dr.Max LÉKÁRNA,28511298,Praha,Voctářova 2401/8,18000,Praha,prahavoc@drmax.cz,225574116,http://www.drmax.cz,Lékárna,Ano,Ano,PharmDr. Iva Vondrášková,Tier 1,unknown
100,Dr.Max LÉKÁRNA,28511298,Praha,Kutnohorská 531,10900,Praha,praha.kutnohorska@drmax.cz,225574542,http://www.drmax.cz,Lékárna,Ano,Ano,Mgr. Alena Kondelová,Tier 1,unknown
100,Dr.Max LÉKÁRNA,28511298,Praha,Křižíkova 2136/2a,18600,Praha,LEK693@drmax.cz,225 574 693,http://www.drmax.cz,Lékárna,Ano,Ano,Mgr. Monika Nováková,Tier 1,unknown
100,Dr.Max LÉKÁRNA,28511298,Praha,Kostelecká 822/75,19600,Praha,"lek455@drmax.cz, praha.kostelecka@drmax.cz",225574455,http://www.drmax.cz,Lékárna,Ano,Ano,PharmDr. Milena Švecová,Tier 1,unknown
100,Dr.Max LÉKÁRNA,28511298,Praha,Lodžská 850/6,18100,Praha,lek704@drmax.cz,225 574 704,http://www.drmax.cz,Lékárna,Ano,Ano,Mgr. Jarmila Kotková,Tier 1,unknown
100,Dr.Max LÉKÁRNA,28511298,Praha,Na Pankráci 1727/86,14000,Praha,LEK655@drmax.cz,225 574 686,http://www.drmax.cz,Lékárna,Ano,Ano,PharmDr. Ingrid Šopíková,Tier 1,unknown
100,Dr.Max LÉKÁRNA,28511298,Praha,Evropská 866/71,16000,Praha,LEk649@drmax.cz,225 574 649,http://www.drmax.cz,Lékárna,Ano,Ano,PharmDr. Petra Vítovcová,Tier 1,unknown
100,Dr.Max LÉKÁRNA,28511298,Brno,Hradecká 408/40,62100,Jihomoravský kraj,brno.hradecka@drmax.cz,225 574 426,https://www.drmax.cz/,Lékárna,Ano,Ano,PharmDr. Nina Švédová,Tier 1,unknown
100,Dr.Max LÉKÁRNA,28511298,Praha,Lhotecká 2109/2d,14300,Praha,praha.lhotecka@drmax.cz,225574213,http://www.drmax.cz,Lékárna,Ano,Ano,Mgr. Anna Kovářová,Tier 1,unknown
100,Lékárna Apavar,25825194,Ostrava,Jurečkova 1812/16,70200,Moravskoslezský kraj,apavar@apavar.cz,724484812,http://www.apavar.cz,Lékárna,Ano,Ano,Mgr. Helena Zvaríková,Tier 1,unknown
100,Lékárna Hradčanská,09522794,Praha,Milady Horákové 116/109,16000,Praha,info@hradcanskalekarna.cz,724320595,https://www.magistra.cz/cs/magistra-lekarna-hradcanska-praha-6-hradcany,Lékárna,Ano,Ano,Mgr. Ing. Tatiana Princová,Tier 1,unknown
