Score,Název,IČO,Město,Kraj,Email,Telefon,Typ,Tier
100,BB Lékárna s.r.o.,19145608,Brno,Jihomoravský kraj,info@bblekarna.cz,777 241 945,Lékárna,Tier 1
100,BENU Lékárna PLV laboratoř,49621173,Praha,Praha,"poradna@benu.cz, praha.kperovne@benu.cz",731661144,Lékárna,Tier 1
100,Dr. Max LÉKÁRNA,28511298,Plzeň,Plzeňský kraj,plzen.radcicka@drmax.cz,225 574 433,Lékárna,Tier 1
100,Dr. Max LÉKÁRNA,28511298,Plzeň,Plzeňský kraj,lek127@drmax.cz,225574127,Lékárna,Tier 1
100,Dr. Max LÉKÁRNA,28511298,Ostrava,Moravskoslezský kraj,"ostrava.opavska@drmax.cz, lek419@drmax.cz",596 935 041,Lékárna,Tier 1
100,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha.uslavie@drmax.cz,225574303,Lékárna,Tier 1
100,Dr.Max LÉKÁRNA,28511298,Brno,Jihomoravský kraj,lek222@drmax.cz,225574222,Lékárna,Tier 1
100,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha.radlicka@drmax.cz,225574194,Lékárna,Tier 1
100,Dr.Max LÉKÁRNA,28511298,Brno,Jihomoravský kraj,lek347@drmax.cz,225574347,Lékárna,Tier 1
100,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha.krcska@drmax.cz,225574301,Lékárna,Tier 1
100,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha.viteznenam@drmax.cz,"225 574 363, 734 288 303",Lékárna,Tier 1
100,Dr.Max LÉKÁRNA,28511298,Brno,Jihomoravský kraj,brno.vankovka@drmax.cz,225 574 322,Lékárna,Tier 1
100,Dr.Max LÉKÁRNA,28511298,Praha,Praha,prahavoc@drmax.cz,225574116,Lékárna,Tier 1
100,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha.kutnohorska@drmax.cz,225574542,Lékárna,Tier 1
100,Dr.Max LÉKÁRNA,28511298,Praha,Praha,LEK693@drmax.cz,225 574 693,Lékárna,Tier 1
100,Dr.Max LÉKÁRNA,28511298,Praha,Praha,"lek455@drmax.cz, praha.kostelecka@drmax.cz",225574455,Lékárna,Tier 1
100,Dr.Max LÉKÁRNA,28511298,Praha,Praha,lek704@drmax.cz,225 574 704,Lékárna,Tier 1
100,Dr.Max LÉKÁRNA,28511298,Praha,Praha,LEK655@drmax.cz,225 574 686,Lékárna,Tier 1
100,Dr.Max LÉKÁRNA,28511298,Praha,Praha,LEk649@drmax.cz,225 574 649,Lékárna,Tier 1
100,Dr.Max LÉKÁRNA,28511298,Brno,Jihomoravský kraj,brno.hradecka@drmax.cz,225 574 426,Lékárna,Tier 1
100,Dr.Max LÉKÁRNA,28511298,Praha,Praha,praha.lhotecka@drmax.cz,225574213,Lékárna,Tier 1
100,Lékárna Apavar,25825194,Ostrava,Moravskoslezský kraj,apavar@apavar.cz,724484812,Lékárna,Tier 1
100,Lékárna Hradčanská,09522794,Praha,Praha,info@hradcanskalekarna.cz,724320595,Lékárna,Tier 1
